12,81
13,38
13,06
13,25
15,94
13,25
18,06
13,25
20,00
13,19
22,19
13,31
24,00
13,31
26,12
13,31
28,00
13,31
28,31
13,31
28,31
13,31
28,25
13,31
28,19
13,31
28,12
13,38
28,12
13,38
28,12
13,38
28,00
13,38
28,00
13,38
27,94
13,38
27,94
13,38
27,87
13,44
27,75
13,44
27,75
13,44
27,75
13,44
27,62
13,44
27,62
13,44
27,56
13,44
27,56
13,44
27,50
13,44
27,44
13,50
27,37
13,44
27,37
13,44
27,31
13,44
27,19
13,50
27,19
13,44
27,12
13,44
27,06
13,38
27,00
13,38
27,00
13,44
26,94
13,38
26,87
13,38
26,87
13,38
26,81
13,38
26,75
13,31
26,69
13,31
26,62
13,31
26,62
13,31
26,56
13,25
26,50
13,31
26,50
13,25
26,44
13,25
26,37
13,31
26,31
13,31
26,31
13,19
26,25
13,25
26,19
13,31
26,12
13,25
26,12
13,25
26,06
13,19
26,06
12,94
25,94
12,88
25,87
12,88
25,81
12,94
25,81
13,00
25,81
13,06
25,75
13,06
25,69
13,06
25,62
13,06
25,62
13,06
25,56
13,00
25,50
13,06
25,44
13,06
25,44
13,00
25,37
12,94
25,31
12,94
25,25
12,88
25,25
12,75
25,19
12,69
25,12
12,56
25,06
12,56
25,00
12,44
25,00
12,50
24,94
12,38
24,87
12,31
24,81
12,25
24,75
12,25
24,75
12,25
24,69
12,25
24,62
12,19
24,62
12,19
24,56
12,31
24,56
12,31
24,44
12,31
24,44
12,25
24,37
12,19
24,31
12,25
24,25
12,19
24,25
12,25
24,25
12,19
24,19
12,19
24,12
12,13
24,06
12,13
24,00
12,13
24,00
12,13
24,00
12,19
23,87
12,25
23,87
12,31
23,81
12,25
23,75
12,25
23,75
12,19
23,69
12,31
23,62
12,19
23,62
12,13
23,56
12,25
23,50
12,19
23,50
12,25
23,44
12,25
23,44
12,38
23,37
12,31
23,31
12,31
23,25
12,31
23,25
12,25
23,19
12,19
23,12
12,13
23,12
12,06
23,06
12,00
23,00
11,94
23,00
11,81
22,94
11,69
22,87
11,69
22,87
11,56
22,81
11,56
22,81
11,50
22,75
11,44
22,69
11,31
22,62
11,19
22,62
11,06
22,56
11,00
22,50
10,88
22,50
10,94
22,44
10,88
22,44
10,75
22,37
10,69
22,31
10,69
22,31
10,63
22,25
10,44
22,19
10,38
22,12
10,31
22,12
10,38
22,06
10,06
22,00
10,19
21,94
10,06
21,94
10,13
21,87
10,00
21,87
9,94
21,81
9,81
21,75
9,81
21,75
9,75
21,62
9,69
21,62
9,69
21,56
9,63
21,56
9,56
21,56
9,56
21,50
9,56
21,44
9,56
21,37
9,69
21,31
9,50
21,31
9,25
21,25
9,13
21,19
8,88
21,19
8,94
21,12
8,75
21,06
8,88
21,06
8,88
21,00
8,69
20,94
8,81
20,94
9,00
20,87
8,94
20,87
9,06
20,81
8,88
20,75
8,88
20,75
8,94
20,69
9,06
20,62
8,94
20,62
8,88
20,56
9,00
20,50
9,06
20,50
8,94
20,44
8,94
20,37
8,88
20,31
8,88
20,31
8,88
20,25
9,06
20,25
8,75
20,19
8,81
20,12
8,81
20,12
8,88
20,06
8,75
20,06
8,88
19,94
8,88
19,94
8,88
19,87
8,88
19,87
8,81
19,81
8,75
19,81
8,75
19,75
8,75
19,69
8,81
19,69
8,63
19,62
8,56
19,62
8,50
19,56
8,50
19,50
8,50
19,50
8,50
19,44
8,44
19,44
8,38
19,31
8,25
19,31
8,31
19,31
8,19
19,25
8,25
19,25
8,19
19,25
8,00
19,19
7,94
19,12
7,88
19,06
7,56
19,06
7,69
19,00
7,63
18,94
7,56
18,94
7,50
18,87
7,44
18,81
7,19
18,81
7,00
18,75
7,06
18,69
7,25
18,62
7,00
18,62
7,00
18,56
7,00
18,50
7,25
18,50
7,13
18,44
7,19
18,44
7,25
18,37
7,25
18,37
7,19
18,31
7,31
18,31
7,56
18,25
7,44
18,25
7,38
18,12
7,44
18,06
7,38
18,06
7,44
18,06
7,50
18,00
7,88
18,00
7,88
17,94
7,94
17,94
8,06
17,87
8,25
17,87
8,38
17,87
8,38
17,81
8,50
17,75
8,56
17,75
8,63
17,75
8,75
17,69
9,13
17,69
9,31
17,62
9,38
17,62
9,81
17,62
9,75
17,56
10,19
17,56
10,13
17,56
10,13
